"id","property_type","city","price","sq_m_built","n_bedrooms","bathrooms","floor","year_built","exterior","parking","log_price","city-neighborhood"
103910979,Flat / apartment,Barcelona,198000,90,3,1,2,1970,True,False,12,Barcelona - La Marina del Port
103714088,Flat / apartment,Barcelona,214000,64,2,1,6,1969,True,False,12,Barcelona - Sants-Montjuïc
102543745,Flat / apartment,Barcelona,170000,75,3,1,4,1955,True,False,12,Barcelona - La Marina del Port
104060320,Flat / apartment,Barcelona,310000,72,1,1,0,1969,False,False,12,Barcelona - Sants-Montjuïc
96476386,Flat / apartment,Barcelona,90000,87,4,1,1,1977,True,False,11,Barcelona - La Marina del Port
104387025,Flat / apartment,Barcelona,210000,65,2,1,4,2008,True,False,12,Barcelona - Nou Barris
100505718,Flat / apartment,Barcelona,240000,114,3,2,2,1980,True,False,12,Barcelona - Les Roquetes
103958887,Flat / apartment,Barcelona,125000,60,2,1,1,1969,True,False,11,Barcelona - Nou Barris
104228175,Flat / apartment,Barcelona,135000,50,2,1,2,1960,True,False,11,Barcelona - Les Roquetes
102510692,Duplex,Barcelona,199000,96,3,1,1,1968,True,False,12,Barcelona - Nou Barris
104322107,Flat / apartment,Santa Coloma de Gramenet,260000,80,3,2,1,2021,True,False,12,Santa Coloma de Gramenet - Fondo
95247358,Flat / apartment,Santa Coloma de Gramenet,106000,83,3,1,2,1970,True,False,11,Santa Coloma de Gramenet - Fondo
104251484,Flat / apartment,Santa Coloma de Gramenet,117000,60,2,1,1,1969,True,False,11,Santa Coloma de Gramenet - El Raval
98848808,Flat / apartment,Santa Coloma de Gramenet,159900,65,3,1,2,1970,True,False,11,Santa Coloma de Gramenet - Centre
101461813,Flat / apartment,Santa Coloma de Gramenet,101500,57,2,1,1,1970,False,False,11,Santa Coloma de Gramenet - Santa Coloma de Gramenet
102053888,Flat / apartment,Santa Coloma de Gramenet,125000,77,3,1,1,1971,True,False,11,Santa Coloma de Gramenet - Singuerlín
103935643,Flat / apartment,Santa Coloma de Gramenet,87000,78,2,1,0,1971,True,False,11,Santa Coloma de Gramenet - Riera Alta - Llatí
104302510,Flat / apartment,Santa Coloma de Gramenet,95000,60,2,1,2,1966,True,False,11,Santa Coloma de Gramenet - Santa Rosa - Can Mariner
98777486,Flat / apartment,Santa Coloma de Gramenet,235000,80,3,1,3,1970,True,False,12,Santa Coloma de Gramenet - Centre
102567523,Flat / apartment,Santa Coloma de Gramenet,83000,61,1,1,2,1971,True,False,11,Santa Coloma de Gramenet - Riera Alta - Llatí
102564439,Flat / apartment,Santa Coloma de Gramenet,82000,71,2,1,0,1970,True,False,11,Santa Coloma de Gramenet - Fondo
102162807,Flat / apartment,Santa Coloma de Gramenet,99000,89,3,1,1,1900,True,False,11,Santa Coloma de Gramenet - El Raval
104365522,Flat / apartment,Santa Coloma de Gramenet,65700,44,2,1,1,1970,False,False,11,Santa Coloma de Gramenet - Santa Coloma de Gramenet
104360665,Flat / apartment,Santa Coloma de Gramenet,70600,55,3,1,2,1970,False,False,11,Santa Coloma de Gramenet - Santa Coloma de Gramenet
104366629,Flat / apartment,Santa Coloma de Gramenet,94500,65,3,1,0,1970,False,False,11,Santa Coloma de Gramenet - Santa Coloma de Gramenet
