"PropertyTitle","Price","Rooms","Floors","Bedrooms","Living","Type","Condition","Standing","ConstructionYear","Total","Bathrooms","Land","ParkingLots(Outside)","ParkingLots(Inside)","Internal","Terraces","Garages(Outside)","Cellar","Beds"
"Condo/Apartment for sale in Paris, France","$2,013,532",6,,3,"150 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$298,747",1,,,"20 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$265,699",1,,,"22 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,417,133",4,,3,"111 m²","","","",,"",2,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$744,131",3,,2,"82 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$453,045",3,,2,"54 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$819,639",3,,2,"75 m²","","","",,"",1,"",,,"","","","",""
"House for sale in Paris, France","$1,093,217",5,,4,"122 m²",House,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$546,061",3,,2,"66 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$2,675,590",5,,3,"148 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$525,269",3,,2,"54 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$393,952",3,,2,"64 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$261,540",1,,,"21 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$261,540",1,,1,"22 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$98,488",1,,1,"8 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$229,805",1,,1,"21 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$251,692",1,,,"23 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$809,790",4,,2,"85 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
Charming two-room apartment near Montparnasse,"$323,259",2,,1,"32 m²",Condo/Apartment,"","",,"32 m²",1,"",,,"11 m²","","","",""
"Condo/Apartment for sale in Paris, France","$492,440",3,,2,"34 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$383,009",2,,1,"29 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$228,711",1,,,"15 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,231,100",5,,3,"108 m²","","","",,"",,"",,,"","","","",""
"House for sale in Paris, France","$393,952",2,,1,"30 m²",House,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$419,121",2,,1,"40 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$355,651",2,,1,"23 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$372,066",1,,,"32 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$874,354",3,,1,"84 m²",Condo/Apartment,"","",,"",1,"",,1,"","","","",""
"Condo/Apartment for sale in Paris, France","$874,354",2,,1,"84 m²",Condo/Apartment,"","",,"",1,"",,1,"","","","",""
"Condo/Apartment for sale in Paris, France","$149,921",1,,,"9 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$164,147",2,,,"13 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$631,965",3,,2,"46 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$896,241",3,,2,"61 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$517,609",3,,2,"52 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$536,212",3,,2,"52 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,159,970",4,,3,"87 m²","","","",,"",2,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$436,630",4,,2,"74 m²",Condo/Apartment,"","",,"",,"",,1,"","","","",""
"Condo/Apartment for sale in Paris, France","$524,284",2,,1,"48 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,312,079",4,,3,"102 m²",Condo/Apartment,"","",,"",1,"",,1,"","","","",""
"Condo/Apartment for sale in Paris, France","$820,733",4,,3,"76 m²",Condo/Apartment,"","",,"",,"",1,,"","","","",""
"Condo/Apartment for sale in Paris, France","$564,664",2,,1,"53 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$74,413",1,,,"7 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$574,513",2,,1,"53 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$651,115",2,,1,"53 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$588,739",2,,1,"55 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$600,777",2,,1,"37 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$711,302",3,,2,"70 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$568,768",2,,1,"49 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$579,985",3,,2,"51 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$525,269",2,,1,"40 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$689,416",3,,1,"50 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$3,096,900",6,,3,"145 m²","","","",,"",1,"",,,"","","","",""
"House for sale in Paris, France","$1,471,848",7,,5,"184 m²",House,"","",,"",2,"",,2,"","","","",""
"Condo/Apartment for sale in Paris, France","$625,946",3,,2,"41 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$600,777",3,,2,"63 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$525,269",2,,1,"35 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$398,329",2,,1,"38 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$782,432",4,,3,"80 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$908,278",3,,2,"81 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$333,765",1,,,"21 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
T2,"$186,033",2,,1,"18 m²","","","",,"18 m²",1,"",,,"","","","",""
T2,"$136,789",2,,,"14 m²","","","",,"14 m²",,"",,,"","","","",""
"2P SAUSSURE","$546,061",2,7,,"51.83 m²",Condo/Apartment,"","",1971,"51 m²",1,"",,,"21 m²","","","",""
"Condo/Apartment for sale in Paris, France","$367,688",1,,,"37 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$339,236",2,,1,"32 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$654,398",3,,2,"45 m²",Condo/Apartment,New,"",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$623,757",2,,1,"40 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$404,895",2,,1,"33 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$328,293",1,,,"19 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$582,173",3,,2,"60 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$874,354",4,,2,"80 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$979,408",3,,2,"88 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$979,408",3,,2,"88 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,039,595",5,,3,"110 m²","","","",,"",1,"",,1,"","","","",""
"Condo/Apartment for sale in Paris, France","$962,994",4,,2,"85 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$902,807",3,,2,"76 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$983,786",5,,4,"116 m²",Condo/Apartment,"","",,"",1,"",,1,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,301,136",4,,2,"110 m²",Condo/Apartment,"","",,"",2,"",1,1,"","","","",""
"Condo/Apartment for sale in Paris, France","$293,275",1,,,"18 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$353,462",2,,,"30 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$414,744",1,,,"37 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$519,798",2,,1,"43 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$519,798",2,,1,"43 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$390,669",2,,1,"58 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$184,939",2,,,"34 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$551,861",4,,,"73 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$589,834",3,,2,"60 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$653,304",2,,,"54 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$298,747",3,,1,"35 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$622,663",3,,1,"50 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$645,643",3,,2,"63 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$372,066",2,,1,"34 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$820,733",3,,2,"76 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$399,424",2,,1,"33 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$599,682",2,,1,"48 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$480,403",2,,1,"47 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$148,826",1,,,"8 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$463,441",2,,1,"48 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$491,346",3,,2,"31 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$530,741",4,,3,"51 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$284,521",1,,,"31 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$444,290",2,,1,"33 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$195,882",2,,1,"17 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$764,923",3,,2,"77 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,202,648",4,,2,"83 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$120,363",1,,,"11 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$390,669",3,,2,"38 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$344,708",1,,,"30 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$689,416",2,,1,"44 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$315,162",2,,1,"34 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$191,504",1,,,"18 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$369,330",3,,1,"59 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$392,858",2,,1,"47 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,202,648",5,,4,"109 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
Studios for sale Paris-16th Porte Maillot,"$273,578",2,,,"21 m²","","","",,"21 m²",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,313,173",4,,2,"97 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,417,133",5,,3,"122 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,696,182",3,,2,"126 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$508,855",2,,1,"48 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$383,009",2,,1,"29 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$183,844",1,,,"27 m²",Condo/Apartment,New,"",,"",,"",1,,"","","","",""
"Condo/Apartment for sale in Paris, France","$897,335",3,,2,"82 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,198,271",5,,3,"186 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$694,887",3,,2,"60 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$298,747",3,,2,"67 m²",Condo/Apartment,New,"",,"",,"",1,,"","","","",""
"Condo/Apartment for sale in Paris, France","$393,952",2,,1,"37 m²",Condo/Apartment,New,"",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$370,971",1,,,"32 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$463,988",2,,1,"48 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$244,467",2,,1,"47 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$315,982",3,,2,"67 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$256,069",1,,,"15 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$514,326",4,,3,"62 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$705,831",2,,1,"60 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$393,952",2,,1,"31 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$218,862",3,,,"80 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$383,009",1,,,"31 m²",Condo/Apartment,New,"",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,083,368",5,,4,"91 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$322,822",2,,1,"33 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$503,383",2,,1,"41 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$158,675",1,,,"14 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$645,643",3,,2,"55 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$108,337",1,,,"12 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,315,909",4,,3,"81 m²",Condo/Apartment,New,"",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$804,319",4,,2,"83 m²",Condo/Apartment,"","",,"",1,"",,1,"","","","",""
"Condo/Apartment for sale in Paris, France","$544,967",2,,1,"45 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$656,587",3,,2,"67 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$505,572",3,,2,"58 m²",Condo/Apartment,"","",,"",1,"",,1,"","","","",""
"Condo/Apartment for sale in Paris, France","$600,339",2,,1,"50 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$476,025",2,,1,"49 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$501,977",3,,2,"54 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$845,902",3,,2,"58 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, FR","$1,041,675",3,,2,"63 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, FR","$1,043,863",3,,2,"63 m²",Condo/Apartment,New,"",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,043,863",3,,2,"63 m²",Condo/Apartment,New,"",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,034,124",2,,1,"72 m²",Condo/Apartment,New,"",,"",1,"",,,"","","","",""
