"PropertyTitle","Price","Rooms","Floors","Bedrooms","Living","Type","Condition","Standing","ConstructionYear","Total","Bathrooms","Land","ParkingLots(Outside)","ParkingLots(Inside)","Internal","Terraces","Garages(Outside)","Cellar","Beds"
"Condo/Apartment for sale in Paris, France","$700,906",2,7,1,"49.08 m²",Condo/Apartment,"","",1900,"",1,"",,,"","","","",""
Atypical 3/4 room apartment,"$579,985",3,3,2,"80 m²",Condo/Apartment,Good condition,"",,"",,"",,,"","","","",""
STUDIO FOR SALE PARIS 16th!,"$129,129",1,7,1,"9.5 m²",Condo/Apartment,"","",1930,"",,"",,,"","","","",""
Paris 14 eme - 3 room(s) 80 m2,"$952,051",3,8,2,"80.7 m²",Condo/Apartment,"","",1955,"",1,"",,,"","","","",""
"5-room apartment","$1,915,044",5,11,3,"136.57 m²",Condo/Apartment,"","",1964,"",2,"",,,"","","1","",""
Exclusivity. Cambronne. On the top floor 4 rooms of 92.11m²,"$1,092,122",4,10,,"92.11 m²",Condo/Apartment,"","",1977,"",,"",,,"","","","",""
Exclusivity. Upper Belleville Park / lower Jourdain. Rare House 5,"$1,313,173",5,2,,"128 m²",House,"","",,"",,"",,,"","1","","",""
Exclusivity. Breteuil/Duroc/St François-Xavier. 4 rooms of 116m,"$1,586,751",4,10,,"116 m²",Condo/Apartment,"","",1973,"",,"",,,"","1","1","",""
Cardinal Lemoine - Monge,"$253,880",1,5,,"",Condo/Apartment,"","",1900,"",,"",,,"","","","",""
Villiers - T3 with large private courtyard and cellar,"$513,232",3,7,,"46.1 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
Refurbished apartment with exceptional view of the Eiffel Tower,"$959,711",1,,,"40.7 m²","","","",,"",,"",1,,"","1","","",""
Apartment Traversant - Paris 10th - Saint Vincent de Paul / L,"$3,266,518",7,,4,"316 m²",Condo/Apartment,"","",1880,"",3,"",,,"","","","",""
Convention / Vaugirard,"$2,484,086",7,3,,"250 m²",House,"","",1908,"",,"",,,"","","","",""
Boulevard Saint-Germain / facing the Ile Saint-Louis,"$1,849,386",5,6,4,"118.56 m²",Condo/Apartment,"","",1890,"",,"",,,"","","","",""
PARIS 11 - BETWEEN LEDRU-ROLLIN & VOLTAIRE,"$119,280",1,3,,"10.57 m²",Condo/Apartment,"","",1911,"",,"",,,"","","","",""
Auteuil / Montmorency,"$3,129,729",6,,,"173.99 m²",Condo/Apartment,"","",2015,"",,"",,,"","","","",""
Marbeuf / Georges V,"$3,053,128",3,6,2,"134 m²",Condo/Apartment,"","",1880,"",,"",,,"","","","",""
In the heart of a cobbled cul-de-sac,"$574,513",2,3,1,"48.35 m²",Condo/Apartment,"","",1950,"",1,"",,,"","","","",""
Trocadero,"$1,280,344",3,,,"91 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
PARIS 16 - RUE CAPITAINE OLCHANSKI,"$760,546",4,,2,"80 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"75003/Haut Marais: superb 3 rooms","$1,083,368",3,,,"76.77 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"75016/M°Exelmans: spacious and comfortable 2-room apartment","$525,269",2,,1,"55.72 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"75016/M° La Muette: comfortable family apartment","$1,302,230",5,11,3,"119.93 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"75003/Picasso Museum: charming studio apartment","$191,504",1,6,,"12.35 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"75004/Rue des Tournelles: charmant duplex","$377,537",2,,,"24.64 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"75009/Saint Georges-Antwerp: superb 2 rooms","$459,611",2,,1,"36.04 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
Saint-Mandé - 3 rooms with terrace - 91 m2,"$941,107",3,4,2,"91 m²",Condo/Apartment,"","",1981,"",1,"",,,"","1","","",""
"2 room apartment refurbished - Chardon Lagache - Exelmans","$481,360",2,,1,"42 m²",Condo/Apartment,"","",1932,"",,"",,,"","","","",""
Saint-Mandé - 2/3 rooms with terrace - 91 m2,"$941,107",2,4,1,"91 m²",Condo/Apartment,"","",1981,"",1,"",,,"","1","","",""
PARIS 9e SQUARE D'ANVERS / AVENUE TRUDAINE,"$525,269",2,6,,"41.62 m²",Condo/Apartment,"","",1900,"",,"",,,"","","","",""
Place Vavin - Notre-Dame des Champs,"$765,471",2,6,1,"45 m²",Condo/Apartment,Good condition,"",1890,"43.55 m²",,"",,,"","","","",""
"3/4 ROOM APARTMENT WITH BALCONY, BRIGHT AND THROUGH","$853,563",3,7,2,"84 m²",Condo/Apartment,"","",1974,"",1,"",,,"","","","",""
Apartment with beautiful volumes between the Arc de Triomphe and Plac,"$2,834,266",6,6,4,"175 m²",Condo/Apartment,"","",1890,"",1,"",,,"","","","",""
STUDIO OCCUPIED - QUARTIER ODÉON LUXEMBOURG 75006 PARIS,"$327,199",1,6,,"23.74 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
APPT 2 ROOMS - QUARTIER TOMBE ISSOIRE 75014 PARIS,"$547,156",2,7,1,"52.84 m²",Condo/Apartment,"","",1964,"",1,"",,,"","","","",""
APARTMENT 2 ROOMS + PARKING - 47.34m² - QUARTIER MAISON BLANC,"$436,630",2,18,1,"47.34 m²",Condo/Apartment,"","",1973,"",,"",,,"","","","",""
STUDIO WITH BALCONY - ALESIA MAINE DISTRICT 75014,"$298,747",1,12,,"28.6 m²",Condo/Apartment,"","",1970,"",1,"",,,"","","","",""
"STUDIO 24,41 CARREZ","$279,618",1,8,,"25 m²",Condo/Apartment,"","",1970,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$525,269",3,,2,"60 m²","","","",,"",1,"",1,1,"","","","",""
"Condo/Apartment for sale in Paris, France","$831,676",3,,2,"85 m²","","","",,"",2,"",,1,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,065,859",4,,3,"82 m²","","","",,"",1,"",,1,"","","","",""
"Condo/Apartment for sale in Paris, France","$261,540",1,,,"29 m²",Condo/Apartment,"","",,"",1,"",,1,"","","","",""
"Condo/Apartment for sale in Paris, France","$813,073",3,,2,"64 m²","","","",,"",,"",,,"","","","",""
Charming 3-room apartment of 48 m² in Paris,"$469,459",3,6,1,"48 m²",Condo/Apartment,"","",1948,"48 m²",1,"",,,"","","","",""
PARIS - BATIGNOLLES DISTRICT - APARTMENT 36 M² - ONE BEDROOM - KITCHEN - SHOWER ROOM - CELLAR - SECURE BIKE ROOM,"$418,574",2,5,1,"36 m²",Condo/Apartment,"","",1930,"36 m²",2,"",,,"","","","",""
PARIS IV th - PLACE DES VOSGES/RUE DES TOURNELLES - STUDIO,"$346,897",1,5,,"21.15 m²",Condo/Apartment,"","",,"21 m²",1,"",,,"","","","",""
"5 ROOMS - PARIS 18","$1,723,540",5,6,3,"140 m²",Condo/Apartment,"","",,"140 m²",2,"",,,"40 m²","","","",""
Magnificent studio of 27 m2 75014 Paris,"$294,370",1,,,"27 m²","","","",,"27 m²",1,"",,,"","","","",""
"Magnificent atypical apartment of 123 m² in Convention, Paris","$820,733",4,6,,"121 m²",Condo/Apartment,"","",1881,"121 m²",1,"",,,"","","","",""
"Studio of 28m2 for sale in Paris 11th arrondissement - Ideal for first-time buyers, professional office or investors","$217,768",1,2,,"28 m²",Condo/Apartment,"","",1930,"28 m²",1,"",1,,"","","","",""
"2 ROOMS I GARDEN I LIKE A HOUSE","$327,199",2,1,1,"35 m²",Condo/Apartment,"","",,"35 m²",1,"",,,"","","","",""
"3-room apartment to renovate","$599,682",3,6,2,"52 m²",Condo/Apartment,"","",,"52 m²",2,"",,,"","","","",""
PARIS 15 | MONTPARNASSE | 56M² | BRIGHT,"$492,440",3,6,2,"56.3 m²","","","",,"56 m²",1,"",,,"","","","",""
Renovated 2-room apartment,"$437,724",2,6,1,"43 m²",Condo/Apartment,"","",,"43 m²",1,"",,,"","","","",""
"2-room apartment of 20m2 for sale in Paris 10th arrondissement - Ideal for first-time buyers or investors","$268,106",2,6,1,"20 m²",Condo/Apartment,"","",1881,"20 m²",1,"",,,"","","","",""
Renovated 2-room apartment,"$459,611",2,7,1,"41 m²",Condo/Apartment,"","",,"41 m²",1,"",,,"","","","",""
"2-room apartment","$156,924",2,6,1,"15.3 m²",Condo/Apartment,"","",,"15 m²",1,"",,,"","","","",""
"3-room apartment with terrace","$655,492",3,6,2,"67 m²",Condo/Apartment,"","",,"67 m²",1,"",1,1,"","","","",""
"2 ROOMS | Ground floor | 42m²","$567,947",2,6,,"42 m²",Condo/Apartment,"","",,"42 m²",1,"",,,"","","","",""
"3-room apartment with terrace","$655,492",3,6,2,"75 m²",Condo/Apartment,"","",,"75 m²",1,"",1,1,"","","","",""
"PARIS 16th - Porte de Saint Cloud, 5 Rooms Apartment - 3 Bedrooms - 1 Cellar","$1,187,327",5,8,3,"100 m²",Condo/Apartment,"","",,"100 m²",3,"",,,"38 m²","","","",""
PARIS 16 | RUE DE PASSY | 3 ROOMS | 72 m² | 2 BALCONIES,"$869,977",3,8,1,"72 m²","","","",,"72 m²",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$859,034",3,,2,"68 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"3 rooms 2 bedrooms a stone's throw from the Buttes Chaumont","$546,061",3,,2,"56 m²","","","",,"56 m²",1,"",,,"","","","",""
"2 rooms DPE B","$459,611",2,,1,"47 m²","","","",,"47 m²",1,"",,,"","","","",""
Imop Opportunity,"$328,184",2,,1,"36 m²","","","",,"36 m²",,"",,,"","","","",""
"3 ROOMS - VILLIERS","$720,057",3,6,1,"64.6 m²",Condo/Apartment,"","",1881,"64 m²",1,"",,,"","","","",""
INDEPENDENT STUDIO IN PARIS XVI TROCADERO,"$250,597",1,,,"17 m²","","","",,"17 m²",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$448,668",3,,1,"37 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$341,097",2,,1,"26 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$437,724",2,,1,"45 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,251,892",4,,2,"116 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$540,042",2,,1,"59 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$207,919",2,,1,"40 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
Apartment Paris 3 rooms 74.77 m2,"$574,404",3,4,2,"74.77 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$710,208",4,,3,"97 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$546,061",2,,,"51 m²","","","",,"",1,"",,,"","","","",""
Apartment,"$689,416",3,,2,"75 m²",Condo/Apartment,"","",,"75 m²",,"",,,"","","","",""
Apartment,"$733,188",2,,1,"49 m²",Condo/Apartment,"","",1900,"49 m²",,"",,,"","","","",""
Apartment,"$1,039,595",3,,2,"51 m²",Condo/Apartment,"","",1850,"51 m²",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$76,383",1,,,"7 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, FR","$375,185",3,,2,"47 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$631,965",2,,1,"58.02 m²",Condo/Apartment,Good condition,"",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$454,139",2,,1,"44 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$284,521",2,,1,"26 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$579,985",2,,1,"44 m²","","","",,"",,"",,,"","","","",""
BEAUTIFUL 2 ROOMS o TERRACE,"$493,534",2,,1,"43 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$627,040",2,,1,"58 m²",Condo/Apartment,Good condition,"",,"",,"",,,"","","","",""
"5 ROOMS RUE NOTRE DAME DE LORETTE","$1,777,599",5,,3,"136.83 m²",Condo/Apartment,"","",1880,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$97,394",1,,,"12 m²",Condo/Apartment,"","",1947,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$472,742",3,,,"49 m²",Condo/Apartment,"","",1895,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$503,383",2,,1,"54 m²",Condo/Apartment,"","",1978,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$164,147",2,,,"33 m²",Condo/Apartment,"","",1900,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$268,106",2,,1,"25 m²",Condo/Apartment,"","",1930,"",1,"",,,"","","","",""
Apartment for sale 3 rooms PARIS 15TH DISTRICT (75),"$601,871",3,,2,"51 m²",Condo/Apartment,"","",1900,"51 m²",1,"",,,"17 m²","","","",""
"Apartment for sale 5 Rooms 123m2, Panthéon, Emily in Paris","$1,707,125",5,,3,"123 m²",Condo/Apartment,"","",1950,"123 m²",1,"",,,"28 m²","","","",""
Apartment for sale 4 rooms (75),"$1,117,292",4,,2,"89 m²",Condo/Apartment,"","",1970,"89 m²",2,"",,1,"29 m²","","","",""
APARTMENT T3 WITH CELLAR,"$678,473",3,,2,"62 m²",Condo/Apartment,"","",1900,"62 m²",,"",1,,"","","","",""
Charming duplex T5 of 103m²,"$1,045,067",5,,3,"103 m²",Condo/Apartment,"","",2005,"103 m²",2,"",,,"","","","",""
FOR SALE CHAMBRE DE BONNE - PARIS 10 - metro Bonne nouvelle/ Strasbourg Saint Denis,"$61,281",1,,,"4.65 m²","","","",,"4 m²",,"",,,"","","","",""
PARIS 13 CROULEBARBE - 2-room apartment with cellar,"$347,991",2,,1,"32 m²",Condo/Apartment,"","",,"32 m²",1,"",,,"","","","",""
"2-room apartment","$454,139",2,,1,"42.6 m²","","","",,"42 m²",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$367,688",2,4,1,"34.5 m²",Condo/Apartment,"","",1850,"",,"",,,"","","","",""
Studio 10 m2 5 minutes at the metro exit line 1,"$90,828",1,,,"9 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"FOR SALE Paris 16th,","$125,846",1,,,"10.29 m²",Condo/Apartment,"","",1948,"",,"",,,"","","","",""
"FOR SALE, Paris 16th, Jasmin, family apartment","$1,504,678",5,1,3,"122.28 m²",Condo/Apartment,"","",1930,"",1,"",,,"","","","",""
Paris 1st - Studio on the 6th floor with elevator,"$374,254",1,,1,"23 m²",Condo/Apartment,"","",2000,"",,"",,,"","","","",""
"METRO CHARLES MICHELS, RUE DE L'ÉGLISE, UPSTAIRS APARTMENT WITH A VIEW OF THE OPEN GARDEN WITHOUT LOSS OF SPACE","$640,172",3,,2,"65 m²",Condo/Apartment,"","",1971,"",1,"",1,,"","","","",""
PARIS 3rd ARRONDISSEMENT - STUDIO 26 m2 - IN THE HEART OF THE MARAIS,"$344,708",1,,,"26.1 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
Architect's house in Paris 14th (Fr/En),"$1,420,416",2,3,1,"108 m²",House,"","",1840,"",,"",1,,"","","","",""
PARIS XVIIIth - GREAT QUARRIES,"$960,805",3,,2,"77 m²",Condo/Apartment,"","",2011,"",,"",1,,"","","","",""
"EXCLUSIVITY PARIS XVI • IDEAL PIED-À-TERRE STUDIO, FIRST PURCHASE OR RENTAL INVESTMENT","$284,521",1,,,"24 m²",Condo/Apartment,"","",1896,"",,"",,,"","","","",""
Apartment 4 rooms 78 m2 joinville-le-pont,"$519,798",4,2,3,"78 m²",Condo/Apartment,"","",1980,"",1,"",,,"","","","",""
PARIS 15-EME ARR. BD LEFEBVRE - SPLENDID THREE-ROOM APARTMENT WITH PARISIAN CHARM GUARANTEED,"$547,156",3,1,2,"50.77 m²",Condo/Apartment,"","",1920,"",1,"",,,"","","","",""
"Quiet, on course, rental investment","$432,253",2,,1,"33 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
Quiet/Location/Modular,"$502,289",3,,2,"58 m²",Condo/Apartment,"","",1964,"",1,"",1,,"","","","",""
"2 ROOMS 68 M2 BALCONY - HIGH FLOOR - BRIGHT","$848,091",2,,1,"68 m²",Condo/Apartment,"","",1934,"",,"",,,"","","","",""
"Bright 2-room apartment with balcony - Suffren - Champs de Mars, Paris 15","$519,798",2,,1,"41.13 m²",Condo/Apartment,"","",1970,"",1,"",,,"","","","",""
Bright studio with unobstructed views,"$276,314",1,,,"25 m²",Condo/Apartment,"","",1981,"",1,"",,,"","","","",""
WORKS / UNOBSTRUCTED VIEW / THROUGH / BALCONY,"$601,871",3,,2,"67 m²",Condo/Apartment,"","",1956,"",,"",1,,"","","","",""
POTTENTIAL / BRIGHT / QUIET,"$212,296",1,,1,"18.22 m²",Condo/Apartment,"","",1934,"",,"",,,"","","","",""
VIEW SAINT EUSTACHE CHURCH / HYPER CENTER / TERASSE,"$1,258,458",3,1,2,"79.92 m²",Condo/Apartment,"","",1880,"",1,"",,,"","","","",""
COUP DE COEUR / OPTIMAL PLAN / CALM,"$328,293",1,,1,"25.18 m²",Condo/Apartment,"","",1860,"",,"",,,"","","","",""
Investment/Bright,"$287,257",1,,,"33.24 m²",Condo/Apartment,"","",1991,"",1,"",,,"","","","",""
Quiet/Bright,"$732,094",2,,1,"53 m²",Condo/Apartment,"","",1800,"",1,"",1,,"","","","",""
VIEW SAINT EUSTACHE CHURCH / HYPER CENTER / TERASSE,"$1,258,458",3,1,2,"79.92 m²",Condo/Apartment,"","",1880,"",1,"",,,"","","","",""
LOFT-RENOVATED-QUIET,"$884,203",3,,2,"65 m²",Condo/Apartment,"","",1960,"",1,"",,,"","","","",""
CHARM OF THE OLD / CROSSING / BRIGHT AND QUIET,"$513,232",2,,1,"47.5 m²",Condo/Apartment,"","",1900,"",,"",,,"","","","",""
REFURBISHED / NO LOSS OF SPACE / BRIGHT,"$503,383",2,,1,"48 m²",Condo/Apartment,"","",1956,"",1,"",,,"","","","",""
REFURBISHED / OPTIMAL PLAN / QUIET,"$612,814",2,,1,"50 m²",Condo/Apartment,"","",1800,"",,"",,,"","","","",""
Studio 18.40 m2 located Paris 14th arrondissement with elevator,"$236,634",1,,,"18.4 m²",Condo/Apartment,"","",1999,"",,"",,,"","","","",""
Studio 18.40 m2 located Paris 14th arrondissement with elevator,"$236,634",1,,,"18.4 m²",Condo/Apartment,"","",1999,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$279,049",2,,1,"31 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$579,985",2,,1,"46 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$667,530",3,,2,"58 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$199,055",2,,1,"26 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$328,293",1,,1,"33 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$415,838",2,,1,"33 m²",Condo/Apartment,"","",1900,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$654,945",2,,1,"49 m²",Condo/Apartment,"","",1970,"",,"",1,,"","","","",""
"Condo/Apartment for sale in Paris, FR","$380,820",1,,,"40 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$579,985",3,,2,"52 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$513,232",3,,,"46 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,915,044",5,,3,"136 m²",Condo/Apartment,"","",1964,"",2,"",,,"","","1","",""
"Condo/Apartment for sale in Paris, France","$2,872,566",4,,2,"185 m²","","","",,"",1,"",1,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,586,751",3,,,"90 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,061,482",3,,2,"93 m²","","","",,"",,"",1,,"","","","",""
"Condo/Apartment for sale in Paris, France","$692,699",3,,2,"66 m²","","","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$574,513",2,,1,"48 m²",Condo/Apartment,"","",1950,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$109,431",1,,,"8 m²",Condo/Apartment,"","",1880,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$129,129",1,,1,"9 m²",Condo/Apartment,"","",1930,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,082,274",3,,,"72 m²",Condo/Apartment,"","",1900,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,285,815",6,,4,"120 m²",Condo/Apartment,"","",,"",2,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$3,266,518",7,,4,"316 m²",Condo/Apartment,"","",1880,"",3,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$56,904",1,,,"7 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,414,944",5,,3,"117 m²",Condo/Apartment,"","",2011,"",2,"",,,"","","1","",""
"Condo/Apartment for sale in Paris, France","$229,805",2,,1,"26 m²",Condo/Apartment,"","",1955,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$694,887",3,,2,"51 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$256,069",2,,,"24 m²",Condo/Apartment,"","",1908,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$751,792",3,,1,"53 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"House for sale in Paris, France","$875,449",3,,2,"58 m²",House,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$804,319",3,,1,"65 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$875,449",3,,2,"58 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$424,593",2,,1,"38 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$973,937",3,,2,"82 m²",Condo/Apartment,"","",,"",2,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$514,326",2,,1,"45 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$216,236",1,,,"18 m²",Condo/Apartment,"","",1900,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$333,765",2,,1,"35 m²",Condo/Apartment,"","",,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$611,720",2,,1,"39 m²",Condo/Apartment,"","",1799,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$164,147",1,,,"12 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,729,011",4,,2,"102 m²",Condo/Apartment,"","",1972,"",,"",1,,"","","","",""
"Condo/Apartment for sale in Paris, France","$523,081",2,,1,"54 m²",Condo/Apartment,"","",1970,"",,"",1,,"","","","",""
"Condo/Apartment for sale in Paris, France","$436,630",2,,1,"47 m²",Condo/Apartment,"","",1994,"",1,"",1,,"","","1","",""
"Condo/Apartment for sale in Paris, France","$645,096",3,,2,"66 m²",Condo/Apartment,"","",1967,"",,"",1,,"","","","",""
"Condo/Apartment for sale in Paris, France","$453,045",2,,1,"47 m²",Condo/Apartment,"","",1978,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$134,600",1,,1,"11 m²",Condo/Apartment,"","",1930,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$864,506",2,,1,"37 m²",Condo/Apartment,"","",1880,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,302,230",3,,1,"77 m²",Condo/Apartment,"","",1880,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,532,035",4,,2,"150 m²",Condo/Apartment,"","",1954,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$465,082",2,,,"42 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,081,179",3,,2,"45 m²",Condo/Apartment,"","",1914,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$414,744",2,,,"27 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$700,359",2,,,"36 m²",Condo/Apartment,"","",1850,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$459,611",2,,1,"36 m²",Condo/Apartment,"","",1900,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$3,556,511",7,,3,"165 m²",Condo/Apartment,"","",1880,"",3,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$755,075",2,,1,"58 m²",Condo/Apartment,"","",1900,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$755,075",3,,1,"58 m²",Condo/Apartment,"","",1900,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$848,091",2,,,"68 m²",Condo/Apartment,"","",1934,"",,"",,,"","","","",""
"Studio of 28m2 for sale in Paris 11th arrondissement - Ideal for first-time buyers, professional office or investors","$217,768",1,,1,"28 m²",Condo/Apartment,"","",1930,"28 m²",,"",,,"","","","",""
APARTMENT WITH AN UNOBSTRUCTED VIEW OF THE GARDEN,"$1,729,011",4,7,2,"102.1 m²",Condo/Apartment,Requires renovation,"",1972,"102.1 m²",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$656,587",2,6,1,"53 m²",Condo/Apartment,"","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,400,718",4,7,3,"127.33 m²",Condo/Apartment,"","",1900,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$101,771",1,6,,"7 m²",Condo/Apartment,"","",1890,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$56,904",1,6,,"7 m²","","","",,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$601,871",3,,2,"62 m²",Condo/Apartment,"","",,"",,"",1,,"","","","",""
"Condo/Apartment for sale in Paris, France","$229,805",2,6,1,"26 m²",Condo/Apartment,"","",1955,"",1,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$1,039,595",6,2,4,"112 m²",Condo/Apartment,"","",1860,"",,"",,,"","","","",""
"Condo/Apartment for sale in Paris, France","$601,871",2,15,1,"60 m²",Condo/Apartment,"","",1973,"",1,"",1,,"","","","",""
"Condo/Apartment for sale in Paris, France","$492,440",2,4,1,"47.23 m²",Condo/Apartment,"","",1900,"",,"",,,"","","","",""
Paris 16e - PASSY - Apartment for sale - 4 rooms - 97.03sqm Carrez - 3 bedrooms.,"$1,521,092",4,8,3,"97.03 m²",Condo/Apartment,Excellent condition,"",1963,"97.03 m²",,"",,,"","","","",""
PARIS 10E- APARTMENT- 6 ROOMS- 3 OR 4 BEDROOMS- 156 SQM- 1 649 400€,"$1,804,957",6,6,3,"156 m²",Condo/Apartment,Requires renovation,"",,"156 m²",,"",,,"","","","",""
Studio of 8 m2 for sale in Paris 16th arrondissement - Ideal for first-time buyers,"$114,903",1,,,"6.05 m²",Condo/Apartment,"","",1881,"8 m²",,"",,,"","","","",""
